         1311378 function calls (1282198 primitive calls) in 2.097 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.006    0.006 mbcsgroupprober.py:30(<module>)
        2    0.000    0.000    0.006    0.003 conv.py:2(<module>)
      220    0.000    0.000    0.006    0.000 linecache.py:36(getlines)
        1    0.000    0.000    0.006    0.006 saved_object_graph_pb2.py:5(<module>)
      110    0.000    0.000    0.006    0.000 linecache.py:80(updatecache)
     7266    0.003    0.000    0.006    0.000 version.py:187(_parse_version_parts)
       28    0.000    0.000    0.006    0.000 traceback.py:200(extract_stack)
        2    0.000    0.000    0.006    0.003 shape_base.py:1(<module>)
       74    0.000    0.000    0.006    0.000 configparser.py:601(__init__)
        1    0.000    0.000    0.006    0.006 gray.py:1(<module>)
     1066    0.001    0.000    0.006    0.000 typing.py:660(__init__)
    31/27    0.000    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:1179(exec_module)
       28    0.000    0.000    0.006    0.000 traceback.py:321(extract)
        2    0.000    0.000    0.006    0.003 specifiers.py:333(Specifier)
        7    0.000    0.000    0.006    0.001 _ops.py:56(__getattr__)
    14092    0.004    0.000    0.006    0.000 lexer.py:109(char_code_at)
      269    0.000    0.000    0.006    0.000 abc.py:84(__new__)
      396    0.000    0.000    0.006    0.000 typing.py:824(copy_with)
    31/27    0.001    0.000    0.006    0.000 {built-in method _imp.exec_dynamic}
        7    0.006    0.001    0.006    0.001 {built-in method torch._C._jit_get_operation}
     1047    0.002    0.000    0.006    0.000 python_message.py:329(AddDecoder)
      148    0.001    0.000    0.006    0.000 __init__.py:2576(from_location)
        1    0.000    0.000    0.006    0.006 perspective.py:1(<module>)
    16948    0.004    0.000    0.006    0.000 sre_parse.py:164(__getitem__)
        1    0.000    0.000    0.005    0.005 wandb_settings.py:2(<module>)
        1    0.000    0.000    0.005    0.005 _recursive.py:1(<module>)
      270    0.000    0.000    0.005    0.000 python_message.py:594(_AddPropertiesForFields)
        1    0.000    0.000    0.005    0.005 blur.py:1(<module>)
        3    0.000    0.000    0.005    0.002 version.py:4(<module>)
        1    0.000    0.000    0.005    0.005 _winconsole.py:9(<module>)
        1    0.000    0.000    0.005    0.005 __init__.py:6(<module>)
     1357    0.002    0.000    0.005    0.000 lexer.py:201(position_after_whitespace)
        1    0.000    0.000    0.005    0.005 cli.py:1(<module>)
     3308    0.004    0.000    0.005    0.000 <frozen importlib._bootstrap>:87(acquire)
        1    0.000    0.000    0.005    0.005 _pytorch_graph.py:1(<module>)
     1010    0.001    0.000    0.005    0.000 python_message.py:605(_AddPropertiesForField)
        1    0.000    0.000    0.005    0.005 function_pb2.py:5(<module>)
     1014    0.005    0.000    0.005    0.000 frontend.py:762(build_Name)
        1    0.000    0.000    0.005    0.005 reader.py:18(<module>)
        1    0.000    0.000    0.005    0.005 reader.py:45(Reader)
        1    0.000    0.000    0.005    0.005 socket.py:4(<module>)
19623/19551    0.004    0.000    0.005    0.000 {method 'join' of 'str' objects}
        1    0.000    0.000    0.005    0.005 affine_shape.py:1(<module>)
        1    0.000    0.000    0.005    0.005 ssl.py:4(<module>)
      879    0.002    0.000    0.005    0.000 version.py:271(__init__)
        1    0.000    0.000    0.005    0.005 lab.py:1(<module>)
        1    0.000    0.000    0.005    0.005 descriptor_pb2.py:4(<module>)
        2    0.000    0.000    0.005    0.002 metric.py:14(<module>)
       10    0.000    0.000    0.005    0.000 parser.py:376(parse_fragment_definition)
     1010    0.002    0.000    0.005    0.000 descriptor.py:563(__init__)
        1    0.000    0.000    0.005    0.005 defmatrix.py:1(<module>)
     2247    0.001    0.000    0.005    0.000 encoder.py:420(TagBytes)
     3573    0.004    0.000    0.005    0.000 ntpath.py:124(splitdrive)
        1    0.000    0.000    0.005    0.005 gradcheck.py:1(<module>)
        4    0.000    0.000    0.005    0.001 rnn.py:1(<module>)
        3    0.000    0.000    0.005    0.002 request.py:1(<module>)
    45033    0.005    0.000    0.005    0.000 {method 'rstrip' of 'str' objects}
       23    0.000    0.000    0.005    0.000 inspect.py:809(findsource)
     3308    0.004    0.000    0.005    0.000 <frozen importlib._bootstrap>:112(release)
        1    0.000    0.000    0.005    0.005 _embedding.py:1(<module>)
     1799    0.001    0.000    0.005    0.000 <frozen importlib._bootstrap>:58(__init__)
        1    0.000    0.000    0.005    0.005 equalization.py:1(<module>)
        1    0.000    0.000    0.004    0.004 scope.py:1(<module>)
     1628    0.002    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:560(_classify_pyc)
  232/194    0.000    0.000    0.004    0.000 frontend.py:744(<listcomp>)
       17    0.004    0.000    0.004    0.000 {method 'read' of '_io.TextIOWrapper' objects}
        1    0.000    0.000    0.004    0.004 _flagvalues.py:14(<module>)
        1    0.000    0.000    0.004    0.004 blur_pool.py:1(<module>)
        1    0.000    0.000    0.004    0.004 cookiejar.py:1(<module>)
       74    0.000    0.000    0.004    0.000 metadata.py:508(read_text)
        1    0.000    0.000    0.004    0.004 base.py:7(<module>)
        2    0.000    0.000    0.004    0.002 main.py:1(<module>)
       92    0.001    0.000    0.004    0.000 metadata.py:444(search)
